Attribute,Value,Name,Syntax,Reference
finishings,78,punch-triple-left,1setOf type2 enum,[PWG5100.1]
finishings,79,punch-triple-top,1setOf type2 enum,[PWG5100.1]
finishings,80,punch-triple-right,1setOf type2 enum,[PWG5100.1]
finishings,81,punch-triple-bottom,1setOf type2 enum,[PWG5100.1]
finishings,82,punch-quad-left,1setOf type2 enum,[PWG5100.1]
finishings,83,punch-quad-top,1setOf type2 enum,[PWG5100.1]
finishings,84,punch-quad-right,1setOf type2 enum,[PWG5100.1]
finishings,85,punch-quad-bottom,1setOf type2 enum,[PWG5100.1]
finishings,86,punch-multiple-left,1setOf type2 enum,[CANON-PUNCHING]
finishings,87,punch-multiple-top,1setOf type2 enum,[CANON-PUNCHING]
finishings,88,punch-multiple-right,1setOf type2 enum,[CANON-PUNCHING]
finishings,89,punch-multiple-bottom,1setOf type2 enum,[CANON-PUNCHING]
finishings,90,fold-accordion,1setOf type2 enum,[PWG5100.1]
finishings,91,fold-double-gate,1setOf type2 enum,[PWG5100.1]
finishings,92,fold-gate,1setOf type2 enum,[PWG5100.1]
finishings,93,fold-half,1setOf type2 enum,[PWG5100.1]
finishings,94,fold-half-z,1setOf type2 enum,[PWG5100.1]
finishings,95,fold-left-gate,1setOf type2 enum,[PWG5100.1]
finishings,96,fold-letter,1setOf type2 enum,[PWG5100.1]
finishings,97,fold-parallel,1setOf type2 enum,[PWG5100.1]
finishings,98,fold-poster,1setOf type2 enum,[PWG5100.1]
finishings,99,fold-right-gate,1setOf type2 enum,[PWG5100.1]
finishings,100,fold-z,1setOf type2 enum,[PWG5100.1]
finishings,101,fold-engineering-z,1setOf type2 enum,[PWG5100.1]
finishings-default,,,1setOf type2 enum,[RFC8011]
finishings-default,"<Any ""finishings"" value>",,1setOf type2 enum,[RFC8011]
finishings-ready,,,1setOf type2 enum,[PWG5100.3]
finishings-ready,"<Any ""finishings"" value>",,1setOf type2 enum,[RFC8011]
finishings-supported,,,1setOf type2 enum,[RFC8011]
finishings-supported,"<Any ""finishings"" value>",,1setOf type2 enum,[RFC8011]
input-orientation-requested,,,type2 enum,[PWG5100.15]
input-orientation-requested,"<Any ""orientation-requested"" value>",,type2 enum,[PWG5100.15]
input-orientation-requested-supported,,,1setOf type2 enum,[PWG5100.15]
input-orientation-requested-supported,"<Any ""orientation-requested"" value>",,1setOf type2 enum,[PWG5100.15]
input-quality,,,type2 enum,[PWG5100.15]
input-quality,"<Any ""print-quality"" value>",,type2 enum,[PWG5100.15]
input-quality-supported,,,1setOf type2 enum,[PWG5100.15]
input-quality-supported,"<Any ""print-quality"" value>",,1setOf type2 enum,[PWG5100.15]
job-state,,,type1 enum,[RFC8011]
job-state,3,pending,type1 enum,[RFC8011]
job-state,4,pending-held,type1 enum,[RFC8011]
job-state,5,processing,type1 enum,[RFC8011]
job-state,6,processing-stopped,type1 enum,[RFC8011]
job-state,7,canceled,type1 enum,[RFC8011]
job-state,8,aborted,type1 enum,[RFC8011]
job-state,9,completed,type1 enum,[RFC8011]
media-source-feed-orientation,,,type2 enum,[PWG5100.13]
media-source-feed-orientation,"<Any ""orientation-requested"" value>",,type2 enum,[PWG5100.13]
operations-supported,,,1setOf type2 enum,[RFC8011]
operations-supported,0x0001,Reserved (not used),1setOf type2 enum,[RFC8011]
operations-supported,0x0002,Print-Job,1setOf type2 enum,[RFC8011]
operations-supported,0x0003,Print-URI,1setOf type2 enum,[RFC8011]
operations-supported,0x0004,Validate-Job,1setOf type2 enum,[RFC8011]
operations-supported,0x0005,Create-Job,1setOf type2 enum,[RFC8011]
operations-supported,0x0006,Send-Document,1setOf type2 enum,[RFC8011]
operations-supported,0x0007,Send-URI,1setOf type2 enum,[RFC8011]
operations-supported,0x0008,Cancel-Job,1setOf type2 enum,[RFC8011]
operations-supported,0x0009,Get-Job-Attributes,1setOf type2 enum,[RFC8011]
operations-supported,0x000A,Get-Jobs,1setOf type2 enum,[RFC8011]
operations-supported,0x000B,Get-Printer-Attributes,1setOf type2 enum,[RFC8011]
operations-supported,0x000C,Hold-Job,1setOf type2 enum,[RFC8011]
operations-supported,0x000D,Release-Job,1setOf type2 enum,[RFC8011]
operations-supported,0x000E,Restart-Job,1setOf type2 enum,[RFC8011]
operations-supported,0x000E,Restart-Job(deprecated),1setOf type2 enum,[APPLE20150505-2]
operations-supported,0x000F,Reserved (not used),1setOf type2 enum,
operations-supported,0x0010,Pause-Printer,1setOf type2 enum,[RFC8011]
operations-supported,0x0011,Resume-Printer,1setOf type2 enum,[RFC8011]
operations-supported,0x0012,Purge-Jobs,1setOf type2 enum,[RFC8011]
operations-supported,0x0012,Purge-Jobs(deprecated),1setOf type2 enum,[APPLE20150505-2]
operations-supported,0x0013,Set-Printer-Attributes,1setOf type2 enum,[RFC3380]
operations-supported,0x0014,Set-Job-Attributes,1setOf type2 enum,[RFC3380]
operations-supported,0x0015,Get-Printer-Supported-Values,1setOf type2 enum,[RFC3380]
operations-supported,0x0016,Create-Printer-Subscriptions,1setOf type2 enum,[RFC3995]
operations-supported,0x0017,Create-Job-Subscriptions,1setOf type2 enum,[RFC3995]
operations-supported,0x0018,Get-Subscription-Attributes,1setOf type2 enum,[RFC3995]
operations-supported,0x0019,Get-Subscriptions,1setOf type2 enum,[RFC3995]
operations-supported,0x001A,Renew-Subscription,1setOf type2 enum,[RFC3995]
operations-supported,0x001B,Cancel-Subscription,1setOf type2 enum,[RFC3995]
operations-supported,0x001C,Get-Notifications,1setOf type2 enum,[RFC3996]
operations-supported,0x001D,Reserved (ipp-indp-method),1setOf type2 enum,
operations-supported,0x001E,Get-Resource-Attributes,1setOf type2 enum,
operations-supported,0x001F,Reserved (ipp-get-resources),1setOf type2 enum,
operations-supported,0x0020,Get-Resources,1setOf type2 enum,
operations-supported,0x0021,Reserved (ipp-install),1setOf type2 enum,
operations-supported,0x0022,Enable-Printer,1setOf type2 enum,[RFC3998]
operations-supported,0x0023,Disable-Printer,1setOf type2 enum,[RFC3998]
operations-supported,0x0024,Pause-Printer-After-Current-Job,1setOf type2 enum,[RFC3998]
operations-supported,0x0025,Hold-New-Jobs,1setOf type2 enum,[RFC3998]
operations-supported,0x0026,Release-Held-New-Jobs,1setOf type2 enum,[RFC3998]
operations-supported,0x0027,Deactivate-Printer,1setOf type2 enum,[RFC3998]
operations-supported,0x0027,Deactivate-Printer(deprecated),1setOf type2 enum,[APPLE20150505-3]
operations-supported,0x0028,Activate-Printer,1setOf type2 enum,[RFC3998]
operations-supported,0x0028,Activate-Printer(deprecated),1setOf type2 enum,[APPLE20150505-3]
operations-supported,0x0029,Restart-Printer,1setOf type2 enum,[RFC3998]
operations-supported,0x002A,Shutdown-Printer,1setOf type2 enum,[RFC3998]
operations-supported,0x002B,Startup-Printer,1setOf type2 enum,[RFC3998]
operations-supported,0x002C,Reprocess-Job,1setOf type2 enum,[RFC3998]
operations-supported,0x002C,Reprocess-Job(deprecated),1setOf type2 enum,[APPLE20150505-2]
operations-supported,0x002D,Cancel-Current-Job,1setOf type2 enum,[RFC3998]
operations-supported,0x002E,Suspend-Current-Job,1setOf type2 enum,[RFC3998]
operations-supported,0x002F,Resume-Job,1setOf type2 enum,[RFC3998]
operations-supported,0x0030,Promote-Job,1setOf type2 enum,[RFC3998]
operations-supported,0x0031,Schedule-Job-After,1setOf type2 enum,[RFC3998]
operations-supported,0x0033,Cancel-Document,1setOf type2 enum,[PWG5100.5]
operations-supported,0x0034,Get-Document-Attributes,1setOf type2 enum,[PWG5100.5]
operations-supported,0x0035,Get-Documents,1setOf type2 enum,[PWG5100.5]
operations-supported,0x0036,Delete-Document(obsolete),1setOf type2 enum,[PWG5100.5]
operations-supported,0x0036,Delete-Document(deprecated),1setOf type2 enum,[APPLE20150505-2]
operations-supported,0x0037,Set-Document-Attributes,1setOf type2 enum,[PWG5100.5]
operations-supported,0x0038,Cancel-Jobs,1setOf type2 enum,[PWG5100.11]
operations-supported,0x0039,Cancel-My-Jobs,1setOf type2 enum,[PWG5100.11]
operations-supported,0x003A,Close-Job,1setOf type2 enum,[PWG5100.11]
operations-supported,0x003B,Resubmit-Job,1setOf type2 enum,[PWG5100.11]
operations-supported,0x003C,Identify-Printer,1setOf type2 enum,[PWG5100.13]
operations-supported,0x003D,Validate-Document,1setOf type2 enum,[PWG5100.13]
operations-supported,0x003E,Add-Document-Images,1setOf type2 enum,[PWG5100.15]
operations-supported,0x003F,Acknowledge-Document,1setOf type2 enum,[PWG5100.18]
operations-supported,0x0040,Acknowledge-Identify-Printer,1setOf type2 enum,[PWG5100.18]
operations-supported,0x0041,Acknowledge-Job,1setOf type2 enum,[PWG5100.18]
operations-supported,0x0042,Fetch-Document,1setOf type2 enum,[PWG5100.18]
operations-supported,0x0043,Fetch-Job,1setOf type2 enum,[PWG5100.18]
operations-supported,0x0044,Get-Output-Device-Attributes,1setOf type2 enum,[PWG5100.18]
operations-supported,0x0045,Update-Active-Jobs,1setOf type2 enum,[PWG5100.18]
operations-supported,0x0046,Deregister-Output-Device,1setOf type2 enum,[PWG5100.18]
operations-supported,0x0047,Update-Document-Status,1setOf type2 enum,[PWG5100.18]
operations-supported,0x0048,Update-Job-Status,1setOf type2 enum,[PWG5100.18]
operations-supported,0x0049,Update-Output-Device-Attributes,1setOf type2 enum,[PWG5100.18]
operations-supported,0x004A,Get-Next-Document-Data,1setOf type2 enum,[PWG5100.17]
operations-supported,0x004B,Allocate-Printer-Resources,1setOf type2 enum,[PWG5100.22]
operations-supported,0x004C,Create-Printer,1setOf type2 enum,[PWG5100.22]
operations-supported,0x004D,Deallocate-Printer-Resources,1setOf type2 enum,[PWG5100.22]
operations-supported,0x004E,Delete-Printer,1setOf type2 enum,[PWG5100.22]
operations-supported,0x004F,Get-Printers,1setOf type2 enum,[PWG5100.22]
operations-supported,0x0050,Shutdown-One-Printer,1setOf type2 enum,[PWG5100.22]
operations-supported,0x0051,Startup-One-Printer,1setOf type2 enum,[PWG5100.22]
operations-supported,0x0052,Cancel-Resource,1setOf type2 enum,[PWG5100.22]
operations-supported,0x0053,Create-Resource,1setOf type2 enum,[PWG5100.22]
operations-supported,0x0054,Install-Resource,1setOf type2 enum,[PWG5100.22]
operations-supported,0x0055,Send-Resource-Data,1setOf type2 enum,[PWG5100.22]
operations-supported,0x0056,Set-Resource-Attributes,1setOf type2 enum,[PWG5100.22]
operations-supported,0x0057,Create-Resource-Subscriptions,1setOf type2 enum,[PWG5100.22]
operations-supported,0x0058,Create-System-Subscriptions,1setOf type2 enum,[PWG5100.22]
operations-supported,0x0059,Disable-All-Printers,1setOf type2 enum,[PWG5100.22]
operations-supported,0x005A,Enable-All-Printers,1setOf type2 enum,[PWG5100.22]
operations-supported,0x005B,Get-System-Attributes,1setOf type2 enum,[PWG5100.22]
operations-supported,0x005C,Get-System-Supported-Values,1setOf type2 enum,[PWG5100.22]
operations-supported,0x005D,Pause-All-Printers,1setOf type2 enum,[PWG5100.22]
operations-supported,0x005E,Pause-All-Printers-After-Current-Job,1setOf type2 enum,[PWG5100.22]
operations-supported,0x005F,Register-Output-Device,1setOf type2 enum,[PWG5100.22]
operations-supported,0x0060,Restart-System,1setOf type2 enum,[PWG5100.22]
operations-supported,0x0061,Resume-All-Printers,1setOf type2 enum,[PWG5100.22]
operations-supported,0x0062,Set-System-Attributes,1setOf type2 enum,[PWG5100.22]
operations-supported,0x0063,Shutdown-All-Printers,1setOf type2 enum,[PWG5100.22]
operations-supported,0x0064,Startup-All-Printers,1setOf type2 enum,[PWG5100.22]
operations-supported,0x0065,Get-Printer-Resources,1setOf type2 enum,[PWG5100.22]
operations-supported,0x0066,Get-User-Printer-Attributes,1setOf type2 enum,[IPPGUPA]
operations-supported,0x0067,Restart-One-Printer,1setOf type2 enum,[PWG5100.22]
orientation-requested,,,type2 enum,[RFC8011]
orientation-requested,3,portrait,type2 enum,[RFC8011]
orientation-requested,4,landscape,type2 enum,[RFC8011]
orientation-requested,5,reverse-landscape,type2 enum,[RFC8011]
orientation-requested,6,reverse-portrait,type2 enum,[RFC8011]
orientation-requested,7,none,type2 enum,[PWG5100.13]
orientation-requested-default,,,no-value | type2 enum,[RFC8011]
orientation-requested-default,"<Any ""orientation-requested"" value>",,no-value | type2 enum,[RFC8011]
orientation-requested-supported,,,1setOf type2 enum,[RFC8011]
orientation-requested-supported,"<Any ""orientation-requested"" value>",,1setOf type2 enum,[RFC8011]
output-device-job-states,,,1setOf type1 enum,[PWG5100.18]
output-device-job-states,"<Any ""job-state"" enum value >",,1setOf type1 enum,[PWG5100.18]
power-state,,,type1 enum,[PWG5100.22]
power-state,20,on,type1 enum,[PWG5100.22]
power-state,21,on-vendor1,type1 enum,[PWG5100.22]
power-state,22,on-vendor2,type1 enum,[PWG5100.22]
power-state,23,on-vendor3,type1 enum,[PWG5100.22]
power-state,24,on-vendor4,type1 enum,[PWG5100.22]
power-state,25,on-vendor5,type1 enum,[PWG5100.22]
power-state,30,standby,type1 enum,[PWG5100.22]
power-state,31,standby-vendor1,type1 enum,[PWG5100.22]
power-state,32,standby-vendor2,type1 enum,[PWG5100.22]
power-state,33,standby-vendor3,type1 enum,[PWG5100.22]
power-state,34,standby-vendor4,type1 enum,[PWG5100.22]
power-state,35,standby-vendor5,type1 enum,[PWG5100.22]
power-state,40,suspend,type1 enum,[PWG5100.22]
power-state,41,suspend-vendor1,type1 enum,[PWG5100.22]
power-state,42,suspend-vendor2,type1 enum,[PWG5100.22]
power-state,43,suspend-vendor3,type1 enum,[PWG5100.22]
power-state,44,suspend-vendor4,type1 enum,[PWG5100.22]
power-state,45,suspend-vendor5,type1 enum,[PWG5100.22]
power-state,50,reset-soft,type1 enum,[PWG5100.22]
power-state,60,off-hard,type1 enum,[PWG5100.22]
power-state,70,hibernate,type1 enum,[PWG5100.22]
power-state,71,hibernate-vendor1,type1 enum,[PWG5100.22]
power-state,72,hibernate-vendor2,type1 enum,[PWG5100.22]
power-state,73,hibernate-vendor3,type1 enum,[PWG5100.22]
power-state,74,hibernate-vendor4,type1 enum,[PWG5100.22]
power-state,75,hibernate-vendor5,type1 enum,[PWG5100.22]
power-state,80,off-soft,type1 enum,[PWG5100.22]
power-state,81,off-soft-vendor1,type1 enum,[PWG5100.22]
power-state,82,off-soft-vendor2,type1 enum,[PWG5100.22]
power-state,83,off-soft-vendor3,type1 enum,[PWG5100.22]
power-state,84,off-soft-vendor4,type1 enum,[PWG5100.22]
power-state,85,off-soft-vendor5,type1 enum,[PWG5100.22]
power-state,90,reset-hard,type1 enum,[PWG5100.22]
power-state,100,reset-mbr,type1 enum,[PWG5100.22]
power-state,110,reset-nmi,type1 enum,[PWG5100.22]
power-state,120,off-soft-graceful,type1 enum,[PWG5100.22]
power-state,130,off-hard-graceful,type1 enum,[PWG5100.22]
power-state,140,reset-mbr-graceful,type1 enum,[PWG5100.22]
power-state,150,reset-soft-graceful,type1 enum,[PWG5100.22]
power-state,160,reset-hard-graceful,type1 enum,[PWG5100.22]
power-state,170,reset-init,type1 enum,[PWG5100.22]
power-state,180,not-applicable,type1 enum,[PWG5100.22]
power-state,190,no-change,type1 enum,[PWG5100.22]
print-quality,,,type2 enum,[RFC8011]
print-quality,3,draft,type2 enum,[RFC8011]
print-quality,4,normal,type2 enum,[RFC8011]
print-quality,5,high,type2 enum,[RFC8011]
print-quality-default,,,type2 enum,[RFC8011]
print-quality-default,"<Any ""print-quality"" value>",,type2 enum,[RFC8011]
print-quality-supported,,,1setOf type2 enum,[RFC8011]
print-quality-supported,"<Any ""print-quality"" value>",,1setOf type2 enum,[RFC8011]
printer-state,,,type1 enum,[RFC8011]
printer-state,3,idle,type1 enum,[RFC8011]
printer-state,4,processing,type1 enum,[RFC8011]
printer-state,5,stopped,type1 enum,[RFC8011]
request-power-state,,,type1 enum,[PWG5100.22]
request-power-state,"< any ""power-state"" value >",,type1 enum,[PWG5100.22]
resource-state,,,type1 enum,[PWG5100.22]
resource-state,3,pending,type1 enum,[PWG5100.22]
resource-state,4,available,type1 enum,[PWG5100.22]
resource-state,5,installed,type1 enum,[PWG5100.22]
resource-state,6,canceled,type1 enum,[PWG5100.22]
resource-state,7,aborted,type1 enum,[PWG5100.22]
start-power-state,,,type1 enum,[PWG5100.22]
start-power-state,"< any ""power-state"" value >",,type1 enum,[PWG5100.22]
system-state,,,type1 enum,[PWG5100.22]
system-state,3,idle,type1 enum,[PWG5100.22]
system-state,4,processing,type1 enum,[PWG5100.22]
system-state,5,stopped,type1 enum,[PWG5100.22]
transmission-status,,,type2 enum,[PWG5100.15]
transmission-status,3,pending,type2 enum,[PWG5100.15]
transmission-status,4,pending-retry,type2 enum,[PWG5100.15]
transmission-status,5,processing,type2 enum,[PWG5100.15]
transmission-status,7,canceled,type2 enum,[PWG5100.15]
transmission-status,8,aborted,type2 enum,[PWG5100.15]
transmission-status,9,completed,type2 enum,[PWG5100.15]
