Attribute,Keyword Value,Syntax,Type,Reference
coating-type,silicone,type2 keyword | name(MAX),,[PWG5100.1]
coating-type,translucent,type2 keyword | name(MAX),,[PWG5100.1]
coating-type-supported,,(1setOf type2 keyword | name(MAX)),,[PWG5100.1]
coating-type-supported,"<Any ""coating-type"" value>",(1setOf type2 keyword | name(MAX)),,[PWG5100.1]
compression,,type2 keyword,,[RFC8011]
compression,compress,type2 keyword,,[RFC8011]
compression,deflate,1setOf type2 keyword,,[RFC8011]
compression,gzip,type2 keyword,,[RFC8011]
compression,none,type2 keyword,,[RFC8011]
compression-accepted,,1setOf type2 keyword,,[PWG5100.17]
compression-accepted,"<Any ""compression"" value>",1setOf type2 keyword,,[PWG5100.17]
compression-supported,,1setOf type2 keyword,,[RFC8011]
compression-supported,"<Any ""compression"" value>",1setOf type2 keyword,,[RFC8011]
cover-type,,type2 keyword,,[PWG5100.3]
cover-type,no-cover,type2 keyword,,[PWG5100.3]
cover-type,print-back,type2 keyword,,[PWG5100.3]
cover-type,print-both,type2 keyword,,[PWG5100.3]
cover-type,print-front,type2 keyword,,[PWG5100.3]
cover-type,print-none,type2 keyword,,[PWG5100.3]
covering-name,,type2 keyword | name(MAX),,[PWG5100.1]
covering-name,plain,type2 keyword | name(MAX),,[PWG5100.1]
covering-name,pre-cut,type2 keyword | name(MAX),,[PWG5100.1]
covering-name,pre-printed,type2 keyword | name(MAX),,[PWG5100.1]
covering-name-supported,,1setOf (type2 keyword | name(MAX)),,[PWG5100.1]
covering-name-supported,"<Any ""covering-name"" value>",1setOf (type2 keyword | name(MAX)),,[PWG5100.1]
current-page-order,,type2 keyword,,[PWG5100.3]
current-page-order,"<Any ""page-order-received"" value>",type2 keyword,,[PWG5100.3]
document-digital-signature,,type2 keyword,,[PWG5100.7]
document-digital-signature,dss,type2 keyword,,[PWG5100.7]
document-digital-signature,none,type2 keyword,,[PWG5100.7]
document-digital-signature,pgp,type2 keyword,,[PWG5100.7]
document-digital-signature,smime,type2 keyword,,[PWG5100.7]
document-digital-signature,xmldsig,type2 keyword,,[PWG5100.7]
document-digital-signature-default,,type2 keyword,,[PWG5100.7]
document-digital-signature-default,"<Any ""document-digital-signature"" value>",type2 keyword,,[PWG5100.7]
document-digital-signature-supported,,1setOf type2 keyword,,[PWG5100.7]
document-digital-signature-supported,"<Any ""document-digital-signature"" value>",1setOf type2 keyword,,[PWG5100.7]
document-format-varying-attributes,,1setOf type2 keyword,,[RFC3380]
document-format-varying-attributes,<Any Printer attribute keyword name>,1setOf type2 keyword,,[RFC3380]
document-format-varying-attributes,none,1setOf type2 keyword,,[RFC3380]
document-privacy-attributes,,1setOf type2 keyword,,[IPPPRIVACY10]
document-privacy-attributes,< any Document object attribute >,1setOf type2 keyword,,[IPPPRIVACY10]
document-privacy-attributes,all,1setOf type2 keyword,,[IPPPRIVACY10]
document-privacy-attributes,default,1setOf type2 keyword,,[IPPPRIVACY10]
document-privacy-attributes,document-description,1setOf type2 keyword,,[IPPPRIVACY10]
document-privacy-attributes,document-template,1setOf type2 keyword,,[IPPPRIVACY10]
document-privacy-attributes,none,1setOf type2 keyword,,[IPPPRIVACY10]
document-privacy-scope,,type2 keyword,,[IPPPRIVACY10]
document-privacy-scope,all,type2 keyword,,[IPPPRIVACY10]
document-privacy-scope,default,type2 keyword,,[IPPPRIVACY10]
document-privacy-scope,none,type2 keyword,,[IPPPRIVACY10]
document-privacy-scope,owner,type2 keyword,,[IPPPRIVACY10]
document-state-reasons,,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,aborted-by-system,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,canceled-at-device,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,canceled-by-operator,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,canceled-by-user,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,completed-successfully,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,completed-with-errors,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,completed-with-warnings,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,compression-error,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,data-insufficient,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,digital-signature-did-not-verify,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,digital-signature-type-not-supported,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,digital-signature-wait,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,document-access-error,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,document-fetchable,1setOf type2 keyword,,[PWG5100.18]
document-state-reasons,document-format-error,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,document-password-error,1setOf type2 keyword,,[PWG5100.13]
document-state-reasons,document-permission-error,1setOf type2 keyword,,[PWG5100.13]
document-state-reasons,document-security-error,1setOf type2 keyword,,[PWG5100.13]
document-state-reasons,document-unprintable-error,1setOf type2 keyword,,[PWG5100.13]
document-state-reasons,errors-detected,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,incoming,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,interpreting,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,none,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,outgoing,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,printing,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,processing-to-stop-point,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,queued,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,queued-for-marker,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,queued-in-device,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,resources-are-not-ready,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,resources-are-not-supported,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,submission-interrupted,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,transforming,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,unsupported-compression,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,unsupported-document-format,1setOf type2 keyword,,[PWG5100.5]
document-state-reasons,warnings-detected,1setOf type2 keyword,,[PWG5100.5]
feed-orientation,,type2 keyword,,[PWG5100.11]
feed-orientation,long-edge-first,type2 keyword,,[PWG5100.11]
feed-orientation,short-edge-first,type2 keyword,,[PWG5100.11]
feed-orientation-supported,,1setOf type2 keyword,,[PWG5100.11]
feed-orientation-supported,"<Any ""feed-orientation"" value>",1setOf type2 keyword,,[PWG5100.11]
finishing-template,,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,bale,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,bind,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,bind-bottom,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,bind-left,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,bind-right,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,bind-top,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,booklet-maker,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,coat,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,cover,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,edge-stitch,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,edge-stitch-bottom,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,edge-stitch-left,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,edge-stitch-right,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,edge-stitch-top,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,fold,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,fold-accordion,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,fold-double-gate,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,fold-engineering-z,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,fold-gate,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,fold-half,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,fold-half-z,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,fold-left-gate,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,fold-letter,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,fold-parallel,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,fold-poster,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,fold-right-gate,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,fold-z,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f2-1,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f4-1,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f4-2,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f6-1,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f6-2,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f6-3,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f6-4,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f6-5,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f6-6,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f6-7,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f6-8,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f8-1,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f8-2,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f8-3,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f8-4,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f8-5,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f8-6,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f8-7,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f10-1,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f10-2,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f10-3,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f12-1,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f12-2,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f12-3,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f12-4,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f12-5,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f12-6,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f12-7,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f12-8,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f12-9,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f12-10,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f12-11,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f12-12,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f12-13,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f12-14,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f14-1,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f16-1,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f16-2,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f16-3,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f16-4,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f16-5,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f16-6,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f16-7,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f16-8,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f16-9,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f16-10,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f16-11,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f16-12,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f16-13,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f16-14,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f18-1,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f18-2,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f18-3,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f18-4,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f18-5,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f18-6,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f18-7,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f18-8,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f18-9,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f20-1,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f20-2,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f24-1,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f24-2,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f24-3,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f24-4,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f24-5,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f24-6,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f24-7,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f24-8,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f24-9,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f24-10,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f24-11,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f28-1,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f32-1,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f32-2,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f32-3,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f32-4,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f32-5,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f32-6,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f32-7,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f32-8,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f32-9,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f36-1,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f36-2,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f40-1,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f48-1,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f48-2,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f64-1,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jdf-f64-2,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jog-offset,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,jog-offset(deprecated),type2 keyword | name(MAX),,[IPP-JOG-OFFSET]
finishing-template,laminate,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,punch,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,punch-bottom-left,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,punch-bottom-right,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,punch-dual-bottom,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,punch-dual-left,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,punch-dual-right,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,punch-dual-top,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,punch-multiple-bottom,type2 keyword | name(MAX),,[CANON-PUNCHING]
finishing-template,punch-multiple-left,type2 keyword | name(MAX),,[CANON-PUNCHING]
finishing-template,punch-multiple-right,type2 keyword | name(MAX),,[CANON-PUNCHING]
finishing-template,punch-multiple-top,type2 keyword | name(MAX),,[CANON-PUNCHING]
finishing-template,punch-quad-bottom,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,punch-quad-left,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,punch-quad-right,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,punch-quad-top,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,punch-top-left,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,punch-top-right,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,punch-triple-bottom,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,punch-triple-left,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,punch-triple-right,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,punch-triple-top,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,saddle-stitch,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,staple,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,staple-bottom-left,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,staple-bottom-right,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,staple-dual-bottom,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,staple-dual-left,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,staple-dual-right,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,staple-dual-top,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,staple-top-left,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,staple-top-right,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,staple-triple-bottom,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,staple-triple-left,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,staple-triple-right,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,staple-triple-top,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,trim,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,trim-after-copies,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,trim-after-documents,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,trim-after-job,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template,trim-after-pages,type2 keyword | name(MAX),,[PWG5100.1]
finishing-template-supported,,1setOf (type2 keyword | name(MAX)),,[PWG5100.1]
finishing-template-supported,"<Any ""finishing-template"" value>",1setOf (type2 keyword | name(MAX)),,[PWG5100.1]
folding-direction,,type1 keyword,,[PWG5100.1]
folding-direction,inward,type1 keyword,,[PWG5100.1]
folding-direction,outward,type1 keyword,,[PWG5100.1]
folding-direction-supported,,1setOf type1 keyword,,[PWG5100.1]
folding-direction-supported,"<Any ""folding-direction"" value>",1setOf type1 keyword,,[PWG5100.1]
folding-reference-edge,,type1 keyword,,[PWG5100.1]
folding-reference-edge,bottom,type1 keyword,,[PWG5100.1]
folding-reference-edge,left,type1 keyword,,[PWG5100.1]
folding-reference-edge,right,type1 keyword,,[PWG5100.1]
folding-reference-edge,top,type1 keyword,,[PWG5100.1]
folding-reference-edge-supported,,1setOf type1 keyword,,[PWG5100.1]
folding-reference-edge-supported,"<Any ""folding-reference-edge"" value>",1setOf type1 keyword,,[PWG5100.1]
identify-actions,,1setOf type2 keyword,,[PWG5100.13]
identify-actions,display,1setOf type2 keyword,,[PWG5100.13]
identify-actions,flash,1setOf type2 keyword,,[PWG5100.13]
identify-actions,sound,1setOf type2 keyword,,[PWG5100.13]
identify-actions,speak,1setOf type2 keyword,,[PWG5100.13]
identify-actions-default,,1setOf type2 keyword,,[PWG5100.13]
identify-actions-default,"<Any ""identify-actions"" value>",1setOf type2 keyword,,[PWG5100.13]
identify-actions-supported,,1setOf type2 keyword,,[PWG5100.13]
identify-actions-supported,"<Any ""identify-actions"" value>",1setOf type2 keyword,,[PWG5100.13]
imposition-template,,type2 keyword | name(MAX),,[PWG5100.3]
imposition-template,none,type2 keyword | name(MAX),,[PWG5100.3]
imposition-template,signature,type2 keyword | name(MAX),,[PWG5100.3]
input-color-mode,,type2 keyword,,[PWG5100.15]
input-color-mode,auto,type2 keyword,,[PWG5100.15]
input-color-mode,bi-level,type2 keyword,,[PWG5100.15]
input-color-mode,cmyk_8,type2 keyword,,[PWG5100.17]
input-color-mode,cmyk_16,type2 keyword,,[PWG5100.17]
input-color-mode,color,type2 keyword,,[PWG5100.15]
input-color-mode,color_8,type2 keyword,,[PWG5100.17]
input-color-mode,monochrome,type2 keyword,,[PWG5100.15]
input-color-mode,monochrome_4,type2 keyword,,[PWG5100.17]
input-color-mode,monochrome_8,type2 keyword,,[PWG5100.17]
input-color-mode,monochrome_16,type2 keyword,,[PWG5100.17]
input-color-mode,rgb_16,type2 keyword,,[PWG5100.17]
input-color-mode,rgba_8,type2 keyword,,[PWG5100.17]
input-color-mode,rgba_16,type2 keyword,,[PWG5100.17]
input-color-mode-supported,,1setOf type2 keyword,,[PWG5100.15]
input-color-mode-supported,"<Any ""input-color-mode"" value>",1setOf type2 keyword,,[PWG5100.15]
input-content-type,,type2 keyword,,[PWG5100.15]
input-content-type,auto,type2 keyword,,[PWG5100.15]
input-content-type,halftone,type2 keyword,,[PWG5100.15]
input-content-type,line-art,type2 keyword,,[PWG5100.15]
input-content-type,magazine,type2 keyword,,[PWG5100.15]
input-content-type,photo,type2 keyword,,[PWG5100.15]
input-content-type,text,type2 keyword,,[PWG5100.15]
input-content-type,text-and-photo,type2 keyword,,[PWG5100.15]
input-content-type-supported,,1setOf type2 keyword,,[PWG5100.15]
input-content-type-supported,"<Any ""input-content-type"" value>",1setOf type2 keyword,,[PWG5100.15]
input-film-scan-mode,,type2 keyword,,[PWG5100.15]
input-film-scan-mode,black-and-white-negative-film,type2 keyword,,[PWG5100.15]
input-film-scan-mode,color-negative-film,type2 keyword,,[PWG5100.15]
input-film-scan-mode,color-slide-film,type2 keyword,,[PWG5100.15]
input-film-scan-mode,not-applicable,type2 keyword,,[PWG5100.15]
input-film-scan-mode-supported,,1setOf type2 keyword,,[PWG5100.15]
input-film-scan-mode-supported,"<Any ""input-film-scan-mode"" value>",1setOf type2 keyword,,[PWG5100.15]
input-media,,type2 keyword | name(MAX),,[PWG5100.15]
input-media,"<Any ""media"" size name value>",type2 keyword | name(MAX),,[PWG5100.15]
input-media,auto,type2 keyword | name(MAX),,[PWG5100.15]
input-media-supported,,1setOf (type2 keyword | name(MAX)),,[PWG5100.15]
input-media-supported,"<Any ""media"" size name value>",1setOf (type2 keyword | name(MAX)),,[PWG5100.15]
input-sides,,type2 keyword,,[PWG5100.15]
input-sides,"<Any ""sides"" value>",type2 keyword,,[PWG5100.15]
input-sides-supported,,1setOf type2 keyword,,[PWG5100.15]
input-sides-supported,"<Any ""sides"" value>",1setOf type2 keyword,,[PWG5100.15]
input-source,,type2 keyword,,[PWG5100.15]
input-source,adf,type2 keyword,,[PWG5100.15]
input-source,film-reader,type2 keyword,,[PWG5100.15]
input-source,platen,type2 keyword,,[PWG5100.15]
input-source-supported,,1setOf type2 keyword,,[PWG5100.15]
input-source-supported,"<Any ""input-source"" value>",1setOf type2 keyword,,[PWG5100.15]
ipp-features-supported,,1setOf type2 keyword,,[PWG5100.13]
ipp-features-supported,document-object,1setOf type2 keyword,,[PWG5100.13]
ipp-features-supported,faxout,1setOf type2 keyword,,[PWG5100.15]
ipp-features-supported,icc-color-matching,1setOf type2 keyword,,[APPLE-ICC]
ipp-features-supported,infrastructure-printer,1setOf type2 keyword,,[PWG5100.18]
ipp-features-supported,ipp-3d,1setOf type2 keyword,,[PWG5100.21]
ipp-features-supported,ipp-everywhere,1setOf type2 keyword,,[PWG5100.14]
ipp-features-supported,job-save,1setOf type2 keyword,,[PWG5100.13]
ipp-features-supported,none,1setOf type2 keyword,,[PWG5100.13]
ipp-features-supported,page-overrides,1setOf type2 keyword,,[PWG5100.13]
