Collection,Name,Member Attribute,Sub-member Attribute,Syntax,Reference
Document Status,insert-sheet-actual,"<Member attributes are the same as the ""insert-sheet"" Job Template attribute>",,,[PWG5100.5]
Document Status,k-octets,,,integer(0:MAX),[PWG5100.5]
Document Status,k-octets-processed,,,integer(0:MAX),[PWG5100.5]
Document Status,last-document,,,boolean,[PWG5100.5]
Document Status,materials-col-actual,,,1setOf collection,[PWG5100.21]
Document Status,media-actual,,,1setOf type2 keyword | name,[PWG5100.5]
Document Status,media-col-actual,,,1setOf collection,[PWG5100.5]
Document Status,media-col-actual,"<Member attributes are the same as the ""media-col"" Job Template attribute>",,,[PWG5100.5]
Document Status,media-sheets,,,integer(0:MAX),[PWG5100.5]
Document Status,media-sheets-completed,,,integer(0:MAX),[PWG5100.5]
Document Status,media-sheets-completed-col,,,collection,[APRIL2015F2F]
Document Status,media-sheets-completed-col,"<Member attributes are the same as the ""media-sheets-col"" Document Template attribute>",,,[APRIL2015F2F]
Document Status,more-info,,,uri,[PWG5100.5]
Document Status,multiple-object-handling-actual,,,type2 keyword,[PWG5100.21]
Document Status,number-up-actual,,,1setOf integer,[PWG5100.5]
Document Status,orientation-requested-actual,,,1setOf type2 enum,[PWG5100.5]
Document Status,output-attributes-actual,,,collection,[PWG5100.17]
Document Status,output-bin-actual,,,1setOf name(MAX),[PWG5100.5]
Document Status,output-device-assigned,,,name(127),[PWG5100.5]
Document Status,output-device-assigned(extension),,,name(MAX),[PWG5100.5]
Document Status,output-device-document-state,,,type2 enum,[PWG5100.18]
Document Status,output-device-document-state-message,,,text(MAX),[PWG5100.18]
Document Status,output-device-document-state-reasons,,,1setOf type2 keyword,[PWG5100.18]
Document Status,page-delivery-actual,,,1setOf type2 keyword,[PWG5100.5]
Document Status,page-order-received-actual,,,1setOf type2 keyword,[PWG5100.5]
Document Status,page-ranges-actual,,,1setOf rangeOfInteger(1:MAX),[PWG5100.5]
Document Status,pages-completed,,,integer(0:MAX),[PWG5100.13]
Document Status,pages-completed-col,,,collection,[APRIL2015F2F]
Document Status,pages-completed-col,"<Member attributes are the same as the ""pages-col"" Document Template attribute>",,,[APRIL2015F2F]
Document Status,pages-completed-current-copy,,,integer(0:MAX),[PWG5100.13]
Document Status,platform-temperature-actual,,,1setOf integer(-273:MAX),[PWG5100.21]
Document Status,presentation-direction-number-up-actual,,,1setOf type2 keyword,[PWG5100.5]
Document Status,print-accuracy-actual,,,collection,[PWG5100.21]
Document Status,print-base-actual,,,1setOf type2 keyword,[PWG5100.21]
Document Status,print-color-mode-actual,,,1setOf type2 keyword,[PWG5100.13]
Document Status,print-content-optimize-actual,,,1setOf type2 keyword,[PWG5100.7]
Document Status,print-objects-actual,,,1setOf collection,[PWG5100.21]
Document Status,print-quality-actual,,,1setOf type2 enum,[PWG5100.5]
Document Status,print-rendering-intent-actual,,,1setOf type2 keyword,[PWG5100.7]
Document Status,print-supports-actual,,,1setOf type2 keyword,[PWG5100.21]
Document Status,printer-resolution-actual,,,1setOf resolution,[PWG5100.5]
Document Status,printer-up-time,,,integer(1:MAX),[PWG5100.5]
Document Status,separator-sheets-actual,,,1setOf collection,[PWG5100.5]
Document Status,separator-sheets-actual,"<Member attributes are the same as the ""separator-sheets"" Job Template attribute>",,,[PWG5100.5]
Document Status,sheet-completed-copy-number,,,integer(0:MAX),[PWG5100.5]
Document Status,sheet-completed-copy-number(obsolete),,,integer(0:MAX),[PWG5100.5]
Document Status,sides-actual,,,1setOf type2 keyword,[PWG5100.5]
Document Status,time-at-completed,,,integer(MIN:MAX) | no-value,[PWG5100.5]
Document Status,time-at-completed(extension),,,integer(MIN:MAX),[PWG5100.5]
Document Status,time-at-creation,,,integer(MIN:MAX),[PWG5100.5]
Document Status,time-at-processing,,,integer(MIN:MAX) | no-value,[PWG5100.5]
Document Status,time-at-processing(extension),,,integer(MIN:MAX),[PWG5100.5]
Document Status,warnings-count,,,integer(0:MAX),[PWG5100.5]
Document Status,x-image-position-actual,,,1setOf type2 keyword,[PWG5100.5]
Document Status,x-image-shift-actual,,,1setOf integer(MIN:MAX),[PWG5100.5]
Document Status,x-side1-image-shift-actual,,,1setOf integer(MIN:MAX),[PWG5100.5]
Document Status,x-side2-image-shift-actual,,,1setOf integer(MIN:MAX),[PWG5100.5]
Document Status,y-image-position-actual,,,1setOf type2 keyword,[PWG5100.5]
Document Status,y-image-shift-actual,,,1setOf integer(MIN:MAX),[PWG5100.5]
Document Status,y-side1-image-shift-actual,,,1setOf integer(MIN:MAX),[PWG5100.5]
Document Status,y-side2-image-shift-actual,,,1setOf integer(MIN:MAX),[PWG5100.5]
Document Template,chamber-humidity,,,integer(0:100),[PWG5100.21]
Document Template,chamber-temperature,,,integer(-273:MAX),[PWG5100.21]
Document Template,copies,,,integer(1:MAX),[PWG5100.5]
Document Template,cover-back,,,collection,[PWG5100.5]
Document Template,cover-back,"<Member attributes are the same as the ""cover-back"" Job Template attribute>",,,[PWG5100.5]
Document Template,cover-front,,,collection,[PWG5100.5]
Document Template,cover-front,"<Member attributes are the same as the ""cover-front"" Job Template attribute>",,,[PWG5100.5]
Document Template,feed-orientation,,,type2 keyword,[PWG5100.5]
Document Template,finishings,,,1setOf type2 enum,[PWG5100.5]
Document Template,finishings-col,,,collection,[PWG5100.5]
Document Template,finishings-col,"<Member attributes are the same as the ""finishings-col"" Job Template attribute>",,,[PWG5100.5]
Document Template,finishings-col(extension),,,1setOf collection,[PWG5100.5]
Document Template,font-name-requested,,,name(MAX),[PWG5100.5]
Document Template,font-size-requested,,,integer(1:MAX),[PWG5100.5]
Document Template,force-front-side,,,1setOf integer(1:MAX),[PWG5100.5]
Document Template,imposition-template,,,type2 keyword | name(MAX),[PWG5100.5]
Document Template,insert-sheet,,,1setOf collection,[PWG5100.5]
Document Template,insert-sheet,"<Member attributes are the same as the ""insert-sheet"" Job Template attribute>",,,[PWG5100.5]
Document Template,materials-col,,,1setOf collection,[PWG5100.21]
Document Template,materials-col,material-amount,,integer(0:MAX),[PWG5100.21]
Document Template,materials-col,material-amount-units,,type2 keyword,[PWG5100.21]
Document Template,materials-col,material-color,,type2 keyword,[PWG5100.21]
Document Template,materials-col,material-diameter,,integer(0:MAX),[PWG5100.21]
Document Template,materials-col,material-diameter-tolerance,,integer(0:MAX),[PWG5100.21]
Document Template,materials-col,material-fill-density,,integer(0:100),[PWG5100.21]
Document Template,materials-col,material-key,,keyword,[PWG5100.21]
Document Template,materials-col,material-name,,name(MAX),[PWG5100.21]
Document Template,materials-col,material-nozzle-diameter,,integer(0:MAX),[PWG5100.21]
Document Template,materials-col,material-purpose,,1setOf type2 keyword,[PWG5100.21]
Document Template,materials-col,material-rate,,integer(1:MAX),[PWG5100.21]
Document Template,materials-col,material-rate-units,,type2 keyword,[PWG5100.21]
Document Template,materials-col,material-retraction,,boolean,[PWG5100.21]
Document Template,materials-col,material-shell-thickness,,integer(0:MAX),[PWG5100.21]
Document Template,materials-col,material-temperature,,integer(-273:MAX) | rangeOfInteger(-273:MAX),[PWG5100.21]
Document Template,materials-col,material-type,,type2 keyword | name(MAX),[PWG5100.21]
Document Template,media,,,type2 keyword | name(MAX),[PWG5100.5]
Document Template,media-col,,,collection,[PWG5100.5]
Document Template,media-col,"<Member attributes are the same as the ""media-col"" Job Template attribute>",,,[PWG5100.5]
Document Template,multiple-object-handling,,,type2 keyword,[PWG5100.21]
Document Template,number-up,,,integer(1:MAX),[PWG5100.5]
Document Template,orientation-requested,,,type2 enum,[PWG5100.5]
Document Template,output-bin,,,type2 keyword | name(MAX),[PWG5100.5]
Document Template,page-delivery,,,type2 keyword,[PWG5100.5]
Document Template,page-order-received,,,type2 keyword,[PWG5100.5]
Document Template,page-order-received(obsolete),,,type2 keyword,[IPP20190509B]
Document Template,page-ranges,,,1setOf rangeOfInteger(1:MAX),[PWG5100.5]
Document Template,pdl-init-file,,,1setOf collection,[PWG5100.5]
Document Template,pdl-init-file,"<Member attributes are the same as the ""pdl-init-file"" Job Template attribute>",,,[PWG5100.5]
Document Template,platform-temperature,,,integer(-273:MAX),[PWG5100.21]
Document Template,presentation-direction-number-up,,,type2 keyword,[PWG5100.5]
Document Template,print-accuracy,,,collection,[PWG5100.21]
Document Template,print-accuracy,accuracy-units,,type2 keyword,[PWG5100.21]
Document Template,print-accuracy,x-accuracy,,integer(0:MAX),[PWG5100.21]
Document Template,print-accuracy,y-accuracy,,integer(0:MAX),[PWG5100.21]
Document Template,print-accuracy,z-accuracy,,integer(0:MAX),[PWG5100.21]
Document Template,print-base,,,type2 keyword,[PWG5100.21]
Document Template,print-color-mode,,,type2 keyword,[PWG5100.13]
Document Template,print-content-optimize,,,type2 keyword,[PWG5100.7]
Document Template,print-objects,,,1setOf collection,[PWG5100.21]
Document Template,print-objects,document-number,,integer(1:MAX),[PWG5100.21]
Document Template,print-objects,object-offset,,collection,[PWG5100.21]
Document Template,print-objects,object-offset,x-offset,integer(0:MAX),[PWG5100.21]
Document Template,print-objects,object-offset,y-offset,integer(0:MAX),[PWG5100.21]
Document Template,print-objects,object-offset,z-offset,integer(0:MAX),[PWG5100.21]
Document Template,print-objects,object-size,,collection,[PWG5100.21]
Document Template,print-objects,object-size,x-dimension,integer(1:MAX),[PWG5100.21]
Document Template,print-objects,object-size,y-dimension,integer(1:MAX),[PWG5100.21]
Document Template,print-objects,object-size,z-dimension,integer(1:MAX),[PWG5100.21]
Document Template,print-objects,object-uuid,,uri,[PWG5100.21]
Document Template,print-quality,,,type2 enum,[PWG5100.5]
Document Template,print-rendering-intent,,,type2 keyword,[PWG5100.13]
Document Template,print-supports,,,type2 keyword,[PWG5100.21]
Document Template,printer-resolution,,,resolution,[PWG5100.5]
Document Template,separator-sheets,,,collection,[PWG5100.5]
Document Template,separator-sheets,"<Member attributes are the same as the ""separator-sheets"" Job Template attribute>",,,[PWG5100.5]
Document Template,sheet-collate,,,type2 keyword,[PWG5100.5]
Document Template,sides,,,type2 keyword,[PWG5100.5]
Document Template,x-image-position,,,type2 keyword,[PWG5100.5]
Document Template,x-image-shift,,,integer(MIN:MAX),[PWG5100.5]
Document Template,x-side1-image-shift,,,integer(MIN:MAX),[PWG5100.5]
Document Template,x-side2-image-shift,,,integer(MIN:MAX),[PWG5100.5]
Document Template,y-image-position,,,type2 keyword,[PWG5100.5]
Document Template,y-image-shift,,,integer(MIN:MAX),[PWG5100.5]
Document Template,y-side1-image-shift,,,integer(MIN:MAX),[PWG5100.5]
Document Template,y-side2-image-shift,,,integer(MIN:MAX),[PWG5100.5]
Event Notifications,job-id,,,integer(1:MAX),[RFC3996]
Event Notifications,job-impressions-completed,,,integer(0:MAX),[RFC3996]
Event Notifications,job-state,,,type1 enum,[RFC3996]
Event Notifications,job-state-reasons,,,1setOf type2 keyword,[RFC3996]
Event Notifications,job-uuid,,,uri,[PWG5100.13]
Event Notifications,notify-charset,,,charset,[RFC3996]
Event Notifications,notify-natural-language,,,naturalLanguage,[RFC3996]
Event Notifications,notify-printer-uri,,,uri,[RFC3996]
Event Notifications,notify-sequence-number,,,integer(0:MAX),[RFC3996]
Event Notifications,notify-subscribed-event,,,type2 keyword,[RFC3995]
Event Notifications,notify-subscription-id,,,integer(1:MAX),[RFC3996]
Event Notifications,notify-subscription-uuid,,,uri,[PWG5100.13]
Event Notifications,notify-text,,,text(MAX),[RFC3995]
Event Notifications,notify-user-data,,,octetString(63),[RFC3996]
Event Notifications,printer-current-time,,,dateTime,[RFC3996]
Event Notifications,printer-is-accepting-jobs,,,boolean,[RFC3996]
Event Notifications,printer-state,,,type1 enum,[RFC3996]
Event Notifications,printer-state-reasons,,,1setOf type2 keyword,[RFC3996]
Event Notifications,printer-up-time,,,integer(1:MAX),[RFC3996]
Job Description,current-page-order,,,type2 keyword,[PWG5100.3]
Job Description,current-page-order(obsolete),,,type2 keyword,[IPP20190509B]
Job Description,document-metadata,,,1setOf octetString(MAX),[PWG5100.13]
Job Description,job-charge-info,,,text,[PWG5100.16]
Job Description,job-collation-type(obsolete),,,type2 enum,[RFC3381]
Job Description,job-mandatory-attributes,,,1setOf keyword,[PWG5100.7]
Job Description,job-message-from-operator,,,text(127),[RFC8011]
Job Description,job-message-to-operator-actual,,,1setOf text(MAX),[PWG5100.8]
Job Description,job-name,,,name(MAX),[RFC8011]
Job Description,job-save-printer-make-and-model,,,text(127),[PWG5100.11]
Job Status,attributes-charset,,,charset,[RFC8011]
Job Status,attributes-natural-language,,,naturalLanguage,[RFC8011]
Job Status,chamber-humidity-actual,,,1setOf integer(0:100),[PWG5100.21]
Job Status,chamber-temperature-actual,,,1setOf integer(-273:MAX),[PWG5100.21]
Job Status,compression-supplied,,,type2 keyword,[PWG5100.7]
Job Status,copies-actual,,,1setOf integer(1:MAX),[PWG5100.8]
Job Status,cover-back-actual,,,1setOf collection,[PWG5100.8]
Job Status,cover-back-actual,"<Member attributes are the same as the ""cover-back"" Job Template attribute>",,,[PWG5100.8]
Job Status,cover-front-actual,,,1setOf collection,[PWG5100.8]
Job Status,cover-front-actual,"<Member attributes are the same as the ""cover-front"" Job Template attribute>",,,[PWG5100.8]
Job Status,date-time-at-completed,,,dateTime | no-value,[RFC8011]
Job Status,date-time-at-creation,,,dateTime,[RFC8011]
Job Status,date-time-at-processing,,,dateTime | no-value,[RFC8011]
Job Status,destination-statuses,,,1setOf collection,[PWG5100.15]
Job Status,destination-statuses,destination-uri,,uri,[PWG5100.15]
Job Status,destination-statuses,images-completed,,integer(0:MAX),[PWG5100.15]
Job Status,destination-statuses,transmission-status,,type2 enum,[PWG5100.15]
Job Status,document-charset-supplied,,,charset,[PWG5100.7]
Job Status,document-digital-signature-supplied,,,type2 keyword,[PWG5100.7]
Job Status,document-format-details-supplied,,,1setOf collection,[PWG5100.7]
Job Status,document-format-details-supplied,"<Member attributes are the same as the ""document-format-details"" Operation attribute>",,,[PWG5100.7]
Job Status,document-format-ready,,,1setOf mimeMediaType,[PWG5100.18]
Job Status,document-format-supplied,,,mimeMediaType,[PWG5100.7]
Job Status,document-format-version-supplied,,,text(127),[PWG5100.7]
Job Status,document-message-supplied,,,text(MAX),[PWG5100.7]
Job Status,document-name-supplied,,,name(MAX),[PWG5100.7]
Job Status,document-natural-language-supplied,,,naturalLanguage,[PWG5100.7]
Job Status,errors-count,,,integer(0:MAX),[PWG5100.7]
Job Status,finishings-actual,,,1setOf type2 enum,[PWG5100.8]
Job Status,finishings-col-actual,,,1setOf collection,[PWG5100.8]
Job Status,finishings-col-actual,"<Member attributes are the same as the ""finishings-col"" Job Template attribute>",,,[PWG5100.8]
Job Status,force-front-side-actual,,,1setOf (1setOf integer(1:MAX)),[PWG5100.8]
Job Status,imposition-template-actual,,,1setOf (type2 keyword | name(MAX)),[PWG5100.8]
Job Status,impressions-completed-current-copy(obsolete),,,integer(0:MAX),[RFC3381]
Job Status,input-attributes-actual,,,collection,[PWG5100.15]
Job Status,insert-sheet-actual,,,1setOf collection,[PWG5100.8]
Job Status,insert-sheet-actual,"<Member attributes are the same as the ""insert-sheet"" Job Template attribute>",,,[PWG5100.8]
Job Status,job-account-id-actual,,,1setOf (name(MAX),[PWG5100.8]
Job Status,job-account-type-actual,,,type2 keyword | name(MAX),[PWG5100.16]
Job Status,job-accounting-sheets-actual,,,1setOf collection,[PWG5100.8]
Job Status,job-accounting-sheets-actual,"<Member attributes are the same as the ""job-accounting-sheets"" Job Template attribute>",,,[PWG5100.8]
Job Status,job-accounting-user-id-actual,,,1setOf (name(MAX),[PWG5100.8]
Job Status,job-attribute-fidelity,,,boolean,[PWG5100.7]
Job Status,job-detailed-status-messages,,,1setOf text(MAX),[RFC8011]
Job Status,job-document-access-errors,,,1setOf text(MAX),[RFC8011]
Job Status,job-error-sheet-actual,,,1setOf collection,[PWG5100.8]
Job Status,job-error-sheet-actual,"<Member attributes are the same as the ""job-error-sheet"" Job Template attribute>",,,[PWG5100.8]
Job Status,job-hold-until-actual,,,1setOf (type2 keyword | name),[PWG5100.8]
Job Status,job-id,,,integer(1:MAX),[RFC8011]
Job Status,job-impressions,,,integer(0:MAX),[RFC8011]
Job Status,job-impressions-col,,,collection,[APRIL2015F2F]
Job Status,job-impressions-col,blank,,integer(0:MAX),[APRIL2015F2F]
Job Status,job-impressions-col,blank-two-sided,,integer(0:MAX),[APRIL2015F2F]
Job Status,job-impressions-col,full-color,,integer(0:MAX),[APRIL2015F2F]
Job Status,job-impressions-col,full-color-two-sided,,integer(0:MAX),[APRIL2015F2F]
Job Status,job-impressions-col,highlight-color,,integer(0:MAX),[APRIL2015F2F]
Job Status,job-impressions-col,highlight-color-two-sided,,integer(0:MAX),[APRIL2015F2F]
Job Status,job-impressions-col,monochrome,,integer(0:MAX),[APRIL2015F2F]
Job Status,job-impressions-col,monochrome-two-sided,,integer(0:MAX),[APRIL2015F2F]
Job Status,job-impressions-completed,,,integer(0:MAX),[RFC8011]
Job Status,job-impressions-completed-col,,,collection,[APRIL2015F2F]
Job Status,job-impressions-completed-col,"<Member attributes are the same as the ""job-impressions-col"" Job Template attribute>",,,[APRIL2015F2F]
Job Status,job-k-octets,,,integer(0:MAX),[RFC8011]
Job Status,job-k-octets-processed,,,integer(0:MAX),[RFC8011]
Job Status,job-media-sheets,,,integer(0:MAX),[RFC8011]
Job Status,job-media-sheets-col,,,collection,[APRIL2015F2F]
Job Status,job-media-sheets-col,blank,,integer(0:MAX),[APRIL2015F2F]
Job Status,job-media-sheets-col,full-color,,integer(0:MAX),[APRIL2015F2F]
Job Status,job-media-sheets-col,highlight-color,,integer(0:MAX),[APRIL2015F2F]
Job Status,job-media-sheets-col,monochrome,,integer(0:MAX),[APRIL2015F2F]
Job Status,job-media-sheets-completed,,,integer(0:MAX),[RFC8011]
Job Status,job-media-sheets-completed-col,,,collection,[APRIL2015F2F]
Job Status,job-media-sheets-completed-col,"<Member attributes are the same as the ""job-media-sheets-col"" Job Template attribute>",,,[APRIL2015F2F]
Job Status,job-more-info,,,uri,[RFC8011]
Job Status,job-originating-user-name,,,name(MAX),[RFC8011]
Job Status,job-originating-user-uri,,,uri,[PWG5100.13]
Job Status,job-pages,,,integer(0:MAX),[PWG5100.13]
Job Status,job-pages-col,,,collection,[APRIL2015F2F]
Job Status,job-pages-col,full-color,,integer(0:MAX),[APRIL2015F2F]
Job Status,job-pages-col,monochrome,,integer(0:MAX),[APRIL2015F2F]
Job Status,job-pages-completed,,,integer(0:MAX),[PWG5100.13]
Job Status,job-pages-completed-col,,,collection,[APRIL2015F2F]
Job Status,job-pages-completed-col,"<Member attributes are the same as the ""job-pages-col"" Job Template attribute>",,,[APRIL2015F2F]
Job Status,job-pages-completed-current-copy,,,integer(0:MAX),[PWG5100.13]
Job Status,job-printer-up-time,,,integer(1:MAX),[RFC8011]
Job Status,job-printer-uri,,,uri,[RFC8011]
Job Status,job-priority-actual,,,1setOf integer(1:100),[PWG5100.8]
Job Status,job-sheet-message-actual,,,1setOf (text(MAX)),[PWG5100.8]
Job Status,job-sheets-actual,,,1setOf (type2 keyword | name),[PWG5100.8]
Job Status,job-sheets-col-actual,,,1setOf collection,[PWG5100.8]
Job Status,job-sheets-col-actual,"<Member attributes are the same as the ""job-sheets-col"" Job Template attribute>",,,[PWG5100.8]
Job Status,job-state,,,type1 enum | unknown,[RFC8011]
Job Status,job-state-message,,,text(MAX),[RFC8011]
Job Status,job-state-reasons,,,1setOf  type2 keyword,[RFC8011]
Job Status,job-uri,,,uri,[RFC8011]
Job Status,job-uuid,,,uri(45),[PWG5100.13]
Job Status,materials-col-actual,,,1setOf collection,[PWG5100.21]
Job Status,media-actual,,,1setOf (type2 keyword | name(MAX)),[PWG5100.8]
Job Status,media-col-actual,,,1setOf collection,[PWG5100.8]
Job Status,media-col-actual,"<Member attributes are the same as the ""media-col"">",,,[PWG5100.8]
Job Status,media-input-tray-check-actual,,,1setOf (type2 keyword | name(MAX)),[PWG5100.8]
Job Status,multiple-document-handling-actual,,,1setOf (type2 keyword),[PWG5100.8]
Job Status,multiple-object-handling-actual,,,type2 keyword,[PWG5100.21]
Job Status,number-of-documents,,,integer(0:MAX),[RFC8011]
Job Status,number-of-intervening-jobs,,,integer(0:MAX),[RFC8011]
Job Status,number-up-actual,,,1setOf integer(1:MAX),[PWG5100.8]
Job Status,orientation-requested-actual,,,1setOf type2 enum,[PWG5100.8]
Job Status,original-requesting-user-name,,,name(MAX),[RFC3998]
Job Status,output-attributes-actual,,,collection,[PWG5100.17]
Job Status,output-bin-actual,,,1setOf (type2 keyword | name(MAX)),[PWG5100.8]
Job Status,output-device-actual,,,1setOf name(127),[PWG5100.7]
Job Status,output-device-assigned,,,name(127),[RFC8011]
Job Status,output-device-job-state,,,type2 enum,[PWG5100.18]
Job Status,output-device-job-state-message,,,text(MAX),[PWG5100.18]
Job Status,output-device-job-state-reasons,,,1setOf type2 keyword,[PWG5100.18]
Job Status,output-device-uuid-assigned,,,uri,[PWG5100.18]
Job Status,overrides-actual,,,1setOf collection,[PWG5100.6]
Job Status,overrides-actual,"<Member attributes are the same as the ""overrides"" Job Template attribute>",,,[PWG5100.6]
Job Status,page-delivery-actual,,,1setOf (type2 keyword),[PWG5100.8]
Job Status,page-order-received-actual,,,1setOf (type2 keyword),[PWG5100.8]
Job Status,page-order-received-actual(obsolete),,,type2 keyword,[IPP20190509B]
Job Status,page-ranges-actual,,,1setOf rangeOfInteger(1:MAX),[PWG5100.8]
Job Status,platform-temperature-actual,,,1setOf integer(-273:MAX),[PWG5100.21]
Job Status,presentation-direction-number-up-actual,,,1setOf (type2 keyword),[PWG5100.8]
Job Status,print-accuracy-actual,,,collection,[PWG5100.21]
Job Status,print-base-actual,,,1setOf type2 keyword,[PWG5100.21]
Job Status,print-color-mode-actual,,,1setOf type2 keyword,[PWG5100.13]
Job Status,print-content-optimize-actual,,,1setOf type2 keyword,[PWG5100.7]
Job Status,print-objects-actual,,,1setOf collection,[PWG5100.21]
Job Status,print-quality-actual,,,1setOf type2 enum,[PWG5100.8]
Job Status,print-rendering-intent-actual,,,1setOf type2 keyword,[PWG5100.7]
Job Status,print-supports-actual,,,1setOf type2 keyword,[PWG5100.21]
Job Status,printer-resolution-actual,,,1setOf resolution,[PWG5100.8]
Job Status,separator-sheets-actual,,,1setOf collection,[PWG5100.8]
Job Status,separator-sheets-actual,"<Member attributes are the same as the ""separator-sheets"">",,,[PWG5100.8]
Job Status,sheet-collate-actual,,,1setOf (type2 keyword),[PWG5100.8]
Job Status,sheet-collate-actual(deprecated),,,1setOf type2 keyword,[APPLE20150505-1]
