\bbath\s+and\s+north\s+east\s+somerset\b	gb-bas
\bdunnamanagh\b	dunamanagh
\beast\s+sussex\b	gb-esx
\beilean\s+siar\b	gb-els
\bking\'s\s+stag\b	king stag
\bmagherafelt\b	gb-mft
\boxfordshire\b	gb-oxf
\bsouthampton\b	gb-sth
\bwest\s+sussex\b	gb-wsx
\bwestminster\b	gb-wsm
\bballymoney\b	gb-bly
\bbirmingham\b	gb-bir
\bborough\s+of\b	
\bcaerphilly\b	gb-cay
\bcalderdale\b	gb-cld
\bceredigion\b	gb-cgn
\bculnacnock\b	culnacnoc
\bdarlington\b	gb-dal
\bderbyshire\b	gb-dby
\bflintshire\b	gb-fln
\bgroesllwyd\b	groes-lwyd
\bhartlepool\b	gb-hpl
\bhillingdon\b	gb-hil
\binverclyde\b	gb-ivc
\blancashire\b	gb-lan
\bmanchester\b	gb-man
\bmidlothian\b	gb-mln
\bn\.\s+ireland\b	n.i.
\bnorth\s+down\b	gb-ndn
\bnottingham\b	gb-ngm
\bportsmouth\b	gb-por
\bshropshire\b	gb-shr
\bst\.\s+helens\b	gb-shn
\bsunderland\b	gb-snd
\bwandsworth\b	gb-wnd
\bwarrington\b	gb-wrt
\bballymena\b	gb-bla
\bbanbridge\b	gb-bnb
\bblackpool\b	gb-bpl
\bboulevard\b	blvd
\bcoleraine\b	gb-clr
\bcookstown\b	gb-ckt
\bcraigavon\b	gb-cgv
\bdoncaster\b	gb-dnc
\bfermanagh\b	gb-fer
\bgateshead\b	gb-gat
\bgreenwich\b	gb-gre
\bhampshire\b	gb-ham
\bislington\b	gb-isl
\bleicester\b	gb-lce
\bn\s+ireland\b	n.i.
\bn\.ireland\b	n.i.
\bredbridge\b	gb-rdb
\brotherham\b	gb-rot
\bsheffield\b	gb-shf
\bsouthwark\b	gb-swk
\bstockport\b	gb-skp
\bwakefield\b	gb-wkf
\bwiltshire\b	gb-wil
\bwokingham\b	gb-wok
\bbarnsley\b	gb-bns
\bbradford\b	gb-brd
\bbridgend\b	gb-bge
\bcheshire\b	gb-chs
\bcornwall\b	gb-con
\bcoventry\b	gb-cov
\bcrescent\b	cres
\bdistrict\b	
\bhare\s+law\b	harelaw
\bharingey\b	gb-hry
\bhavering\b	gb-hav
\bhighland\b	gb-hld
\bhounslow\b	gb-hns
\bknowsley\b	gb-kwl
\blewisham\b	gb-lew
\blimavady\b	gb-lmv
\bplymouth\b	gb-ply
\brochdale\b	gb-rch
\bsandwell\b	gb-saw
\bscotland\b	gb-sct
\bsolihull\b	gb-sol
\bsomerset\b	gb-som
\bstirling\b	gb-stg
\bstrabane\b	gb-stb
\btameside\b	gb-tam
\bthurrock\b	gb-thr
\btrafford\b	gb-trf
\bbedford\b	gb-bdf
\bbelfast\b	gb-bfs
\bbritain\b	gb
\bbromley\b	gb-bry
\bcardiff\b	gb-crf
\bcity\s+of\b	
\bcroydon\b	gb-cry
\bcumbria\b	gb-cma
\benfield\b	gb-enf
\bengland\b	eng
\bfalkirk\b	gb-fal
\bgwynedd\b	gb-gwn
\bhackney\b	gb-hck
\bhighway\b	hwy
\bkingdom\b	gb
\blambeth\b	gb-lbh
\blisburn\b	gb-lsb
\bnewport\b	gb-nwp
\bnorfolk\b	gb-nfk
\bparkway\b	pkwy
\breading\b	gb-rdg
\brutland\b	gb-rut
\bsalford\b	gb-slf
\bsuffolk\b	gb-sfk
\bswansea\b	gb-swa
\bswindon\b	gb-swd
\btorfaen\b	gb-tof
\bwalsall\b	gb-wll
\bwrexham\b	gb-wrx
\bavenue\b	ave
\bcommon\b	comm
\bgb\-ans\b	angus
\bgb\-ant\b	antrim
\bgb\-ard\b	ards
\bgb\-arm\b	armagh
\bgb\-ben\b	brent
\bgb\-bex\b	bexley
\bgb\-bne\b	barnet
\bgb\-bol\b	bolton
\bgb\-bur\b	bury
\bgb\-cmd\b	camden
\bgb\-cwy\b	conwy
\bgb\-der\b	derby
\bgb\-dev\b	devon
\bgb\-dor\b	dorset
\bgb\-dow\b	down
\bgb\-dry\b	derry
\bgb\-dud\b	dudley
\bgb\-eal\b	ealing
\bgb\-eng\b	eng
\bgb\-ess\b	essex
\bgb\-fif\b	fife
\bgb\-ken\b	kent
\bgb\-lrn\b	larne
\bgb\-lut\b	luton
\bgb\-mry\b	moray
\bgb\-myl\b	moyle
\bgb\-nir\b	n.i.
\bgb\-omh\b	omagh
\bgb\-pol\b	poole
\bgb\-pow\b	powys
\bgb\-wgn\b	wigan
\bgb\-wls\b	wales
\bgb\-yor\b	york
\bhalton\b	gb-hal
\bharrow\b	gb-hrw
\bmedway\b	gb-mdw
\bmerton\b	gb-mrt
\bnewham\b	gb-nwm
\boldham\b	gb-old
\bparade\b	pde
\bslough\b	gb-slg
\bstreet\b	st
\bsurrey\b	gb-sry
\bsutton\b	gb-stn
\btorbay\b	gb-tob
\bwirral\b	gb-wrl
\bcourt\b	ct
\bdrive\b	dr
\bmount\b	mt
\bnorth\b	n
\bplace\b	pl
\bpoint\b	pt
\bsaint\b	st
\bsouth\b	s
\beast\b	e
\bg\.b\.\b	gb
\blane\b	ln
\broad\b	rd
\bu\.k\.\b	gb
\bwest\b	w
\bg\.b\b	gb
\bmt\.\b	mt
\bnth\b	n
\bpt\.\b	pt
\bst\.\b	st
\bsth\b	s
\bu\.k\b	gb
\be\.\b	e
\bn\.\b	n
\bs\.\b	s
\buk\b	gb
\bw\.\b	w
